,record_id,user_id,age,gender,region_name,urban_level,is_internet_user,isp,connection_type,tariff_name,daily_hours,usage_purpose,monthly_cost_egp,download_speed_mbps,year,Reason_Not_Using_Internet,Age_Group,Internet_Speed_In_Region
17,18,18,33,Female,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 40GB,6.0,Streaming,230,25,2017,IS_Internet_User,25-34,14.0
18,19,19,22,Male,Delta,0.6,1,Vodafone,Fixed Broadband,Vodafone Max,5.2,Streaming,650,100,2023,IS_Internet_User,15-24,14.0
19,20,20,36,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 80GB,5.4,News,350,30,2017,IS_Internet_User,35-44,17.1
20,21,21,20,Female,Delta,0.6,1,Vodafone,Fixed Broadband,Vodafone Max,7.9,Streaming,650,100,2022,IS_Internet_User,15-24,14.0
21,22,22,25,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 40GB,4.4,Streaming,200,20,2024,IS_Internet_User,25-34,17.1
22,23,23,26,Male,Alexandria,0.92,0,No is Sim Owner,,,0.0,,0,0,2023,Cannot afford device,25-34,13.7
23,24,24,59,Female,Alexandria,0.92,1,Etisalat,Mobile Data,Etisalat Mix 80GB,1.9,Communication,410,40,2018,IS_Internet_User,55+,13.7
24,25,25,53,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,4.2,Communication,350,30,2022,IS_Internet_User,45-54,14.0
25,26,26,33,Male,Giza,0.9,0,WE,,,0.0,,0,0,2020,Low digital literacy,25-34,17.1
26,27,27,25,Male,Giza,0.9,1,WE,Fixed Broadband,WE Bronze,5.6,Work,250,30,2018,IS_Internet_User,25-34,17.1
27,28,28,26,Female,Upper Egypt,0.4,1,WE,Fixed Broadband,WE Start,6.3,Streaming,140,10,2022,IS_Internet_User,25-34,12.0
28,29,29,61,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,2.6,News,350,30,2022,IS_Internet_User,55+,14.0
29,30,30,21,Female,Cairo,0.95,1,WE,Mobile Data,WE Mobile 40GB,5.2,Streaming,200,20,2022,IS_Internet_User,15-24,15.8
30,31,31,56,Female,Upper Egypt,0.4,1,Vodafone,Fixed Broadband,Vodafone Basic,2.7,News,200,30,2016,IS_Internet_User,55+,12.0
31,32,32,28,Female,Delta,0.6,1,WE,Fixed Broadband,WE Bronze,4.7,Streaming,250,30,2022,IS_Internet_User,25-34,14.0
32,33,33,28,Male,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 80GB,6.4,Streaming,450,40,2016,IS_Internet_User,25-34,15.8
33,34,34,48,Male,Alexandria,0.92,1,WE,Mobile Data,WE Mobile 20GB,2.9,News,120,10,2017,IS_Internet_User,45-54,13.7
34,35,35,51,Female,Giza,0.9,1,WE,Mobile Data,WE Mobile 40GB,2.6,News,200,20,2017,IS_Internet_User,45-54,17.1
35,36,36,18,Male,Upper Egypt,0.4,1,Etisalat,Mobile Data,Etisalat Mix 80GB,5.8,Streaming,410,40,2020,IS_Internet_User,15-24,12.0
36,37,37,25,Male,Alexandria,0.92,0,Etisalat,,,0.0,,0,0,2015,Low digital literacy,25-34,13.7
37,38,38,43,Male,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 80GB,3.4,Streaming,450,40,2021,IS_Internet_User,35-44,15.8
38,39,39,16,Male,Delta,0.6,0,Vodafone,,,0.0,,0,0,2024,No perceived need,15-24,14.0
39,40,40,26,Female,Delta,0.6,0,Etisalat,,,0.0,,0,0,2019,No internet coverage,25-34,14.0
40,41,41,38,Female,Giza,0.9,1,Etisalat,Mobile Data,Etisalat Mix 40GB,4.9,Work,230,25,2022,IS_Internet_User,35-44,17.1
41,42,42,20,Male,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 20GB,7.4,Social Media,120,10,2016,IS_Internet_User,15-24,12.0
42,43,43,43,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 40GB,3.8,News,200,20,2020,IS_Internet_User,35-44,17.1
43,44,44,29,Male,Upper Egypt,0.4,1,Vodafone,Fixed Broadband,Vodafone Max,5.1,Work,650,100,2023,IS_Internet_User,25-34,12.0
44,45,45,39,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 20GB,5.4,News,120,10,2023,IS_Internet_User,35-44,15.8
45,46,46,27,Female,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 80GB,5.0,Social Media,410,40,2023,IS_Internet_User,25-34,14.0
46,47,47,52,Female,Upper Egypt,0.4,1,Vodafone,Mobile Data,Vodafone Red 20GB,3.1,News,150,15,2019,IS_Internet_User,45-54,12.0
47,48,48,45,Male,Delta,0.6,1,Vodafone,Mobile Data,Vodafone Red 80GB,3.0,News,450,40,2022,IS_Internet_User,45-54,14.0
48,49,49,72,Male,Delta,0.6,0,WE,,,0.0,,0,0,2016,Low digital literacy,55+,14.0
49,50,50,59,Male,Upper Egypt,0.4,0,Etisalat,,,0.0,,0,0,2021,No internet coverage,55+,12.0
50,51,51,27,Male,Giza,0.9,0,WE,,,0.0,,0,0,2020,No internet coverage,25-34,17.1
51,52,52,38,Female,Delta,0.6,1,Vodafone,Mobile Data,Vodafone Red 40GB,5.0,Streaming,260,25,2024,IS_Internet_User,35-44,14.0
52,53,53,37,Male,Giza,0.9,1,Vodafone,Fixed Broadband,Vodafone Basic,5.7,Streaming,200,30,2021,IS_Internet_User,35-44,17.1
53,54,54,45,Male,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 40GB,3.1,Communication,200,20,2019,IS_Internet_User,45-54,12.0
54,55,55,47,Male,Cairo,0.95,0,Etisalat,,,0.0,,0,0,2022,No perceived need,45-54,15.8
55,56,56,38,Male,Upper Egypt,0.4,1,Orange,Fixed Broadband,Orange Extra,3.9,Streaming,330,50,2018,IS_Internet_User,35-44,12.0
56,57,57,55,Female,Giza,0.9,1,WE,Mobile Data,WE Mobile 40GB,2.7,News,200,20,2020,IS_Internet_User,55+,17.1
57,58,58,23,Male,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 80GB,5.9,Streaming,350,30,2016,IS_Internet_User,15-24,12.0
58,59,59,19,Female,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 40GB,5.1,Social Media,200,20,2020,IS_Internet_User,15-24,12.0
59,60,60,40,Male,Upper Egypt,0.4,1,Vodafone,Mobile Data,Vodafone Red 20GB,4.2,Streaming,150,15,2019,IS_Internet_User,35-44,12.0
60,61,61,15,Male,Cairo,0.95,1,Vodafone,Fixed Broadband,Vodafone Max,7.6,Streaming,650,100,2020,IS_Internet_User,15-24,15.8
61,62,62,68,Male,Delta,0.6,1,Orange,Mobile Data,Orange Go 40GB,1.8,News,240,25,2019,IS_Internet_User,55+,14.0
62,63,63,33,Male,Alexandria,0.92,1,Etisalat,Fixed Broadband,Etisalat Power,5.3,Work,340,50,2018,IS_Internet_User,25-34,13.7
63,64,64,51,Female,Giza,0.9,1,WE,Mobile Data,WE Mobile 80GB,4.2,News,350,30,2021,IS_Internet_User,45-54,17.1
64,65,65,43,Female,Giza,0.9,1,WE,Fixed Broadband,WE Bronze,5.3,News,250,30,2022,IS_Internet_User,35-44,17.1
65,66,66,52,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 40GB,3.6,News,200,20,2016,IS_Internet_User,45-54,15.8
66,67,67,29,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 40GB,5.4,Social Media,200,20,2019,IS_Internet_User,25-34,14.0
67,68,68,18,Female,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 20GB,7.0,Gaming,150,15,2024,IS_Internet_User,15-24,15.8
68,69,69,36,Female,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 80GB,4.3,News,350,30,2022,IS_Internet_User,35-44,12.0
69,70,70,41,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 20GB,3.7,News,120,10,2021,IS_Internet_User,35-44,14.0
70,71,71,38,Male,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 80GB,3.7,Streaming,350,30,2016,IS_Internet_User,35-44,12.0
71,72,72,42,Female,Alexandria,0.92,1,Etisalat,Mobile Data,Etisalat Mix 80GB,3.8,Work,410,40,2022,IS_Internet_User,35-44,13.7
72,73,73,34,Female,Upper Egypt,0.4,1,Vodafone,Fixed Broadband,Vodafone Plus,6.6,Streaming,350,50,2017,IS_Internet_User,25-34,12.0
73,74,74,32,Female,Delta,0.6,0,No is Sim Owner,,,0.0,,0,0,2023,Physical disability,25-34,14.0
74,75,75,22,Male,Giza,0.9,1,Orange,Mobile Data,Orange Go 20GB,6.5,Social Media,140,15,2019,IS_Internet_User,15-24,17.1
75,76,76,30,Female,Delta,0.6,1,Orange,Mobile Data,Orange Go 20GB,4.9,Social Media,140,15,2017,IS_Internet_User,25-34,14.0
76,77,77,18,Male,Alexandria,0.92,1,Etisalat,Fixed Broadband,Etisalat Extreme,5.5,Streaming,620,100,2018,IS_Internet_User,15-24,13.7
77,78,78,51,Female,Delta,0.6,1,Orange,Fixed Broadband,Orange Ultra,3.8,News,600,100,2022,IS_Internet_User,45-54,14.0
78,79,79,55,Female,Giza,0.9,1,Orange,Mobile Data,Orange Go 40GB,3.2,News,240,25,2023,IS_Internet_User,55+,17.1
79,80,80,72,Female,Upper Egypt,0.4,1,Orange,Fixed Broadband,Orange Extra,3.0,Communication,330,50,2022,IS_Internet_User,55+,12.0
80,81,81,15,Female,Delta,0.6,1,Orange,Mobile Data,Orange Go 40GB,5.9,Gaming,240,25,2017,IS_Internet_User,15-24,14.0
81,82,82,74,Male,Upper Egypt,0.4,1,Etisalat,Mobile Data,Etisalat Mix 80GB,2.7,News,410,40,2016,IS_Internet_User,55+,12.0
82,83,83,31,Male,Alexandria,0.92,0,Vodafone,,,0.0,,0,0,2019,Low digital literacy,25-34,13.7
83,84,84,31,Female,Alexandria,0.92,1,Vodafone,Fixed Broadband,Vodafone Plus,5.3,Work,350,50,2019,IS_Internet_User,25-34,13.7
84,85,85,51,Male,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 20GB,3.2,Communication,150,15,2020,IS_Internet_User,45-54,15.8
85,86,86,38,Male,Delta,0.6,0,WE,,,0.0,,0,0,2015,No internet coverage,35-44,14.0
86,87,87,18,Female,Cairo,0.95,1,WE,Mobile Data,WE Mobile 20GB,5.2,Streaming,120,10,2016,IS_Internet_User,15-24,15.8
87,88,88,54,Male,Alexandria,0.92,1,Orange,Mobile Data,Orange Go 40GB,4.7,News,240,25,2024,IS_Internet_User,45-54,13.7
88,89,89,24,Male,Delta,0.6,1,WE,Fixed Broadband,WE Bronze,7.7,Gaming,250,30,2024,IS_Internet_User,15-24,14.0
89,90,90,55,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 40GB,3.0,Communication,200,20,2016,IS_Internet_User,55+,14.0
90,91,91,54,Female,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 20GB,4.0,News,130,15,2024,IS_Internet_User,45-54,14.0
91,92,92,36,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 20GB,5.1,Work,120,10,2020,IS_Internet_User,35-44,14.0
92,93,93,16,Male,Giza,0.9,1,Vodafone,Fixed Broadband,Vodafone Plus,6.6,Streaming,350,50,2021,IS_Internet_User,15-24,17.1
93,94,94,30,Male,Upper Egypt,0.4,0,WE,,,0.0,,0,0,2021,No perceived need,25-34,12.0
94,95,95,17,Female,Upper Egypt,0.4,1,Etisalat,Mobile Data,Etisalat Mix 40GB,6.9,Gaming,230,25,2022,IS_Internet_User,15-24,12.0
95,96,96,68,Male,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 40GB,3.0,News,230,25,2019,IS_Internet_User,55+,14.0
96,97,97,42,Female,Alexandria,0.92,1,Vodafone,Mobile Data,Vodafone Red 80GB,4.0,News,450,40,2015,IS_Internet_User,35-44,13.7
97,98,98,70,Female,Cairo,0.95,1,Etisalat,Fixed Broadband,Etisalat Home,3.0,News,190,30,2020,IS_Internet_User,55+,15.8
98,99,99,29,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 40GB,6.4,Streaming,200,20,2016,IS_Internet_User,25-34,14.0
99,100,100,28,Female,Alexandria,0.92,1,Etisalat,Fixed Broadband,Etisalat Home,6.1,Streaming,190,30,2022,IS_Internet_User,25-34,13.7
100,101,101,45,Female,Giza,0.9,1,Orange,Mobile Data,Orange Go 80GB,3.0,News,420,40,2022,IS_Internet_User,45-54,17.1
101,102,102,23,Female,Alexandria,0.92,1,Etisalat,Fixed Broadband,Etisalat Extreme,7.0,Gaming,620,100,2022,IS_Internet_User,15-24,13.7
102,103,103,39,Male,Giza,0.9,0,No is Sim Owner,,,0.0,,0,0,2020,Cannot afford device,35-44,17.1
103,104,104,16,Male,Upper Egypt,0.4,1,Etisalat,Mobile Data,Etisalat Mix 80GB,7.0,Social Media,410,40,2022,IS_Internet_User,15-24,12.0
104,105,105,39,Female,Upper Egypt,0.4,0,No is Sim Owner,,,0.0,,0,0,2016,Cannot afford device,35-44,12.0
105,106,106,38,Male,Giza,0.9,1,WE,Fixed Broadband,WE Silver,4.0,Work,400,50,2019,IS_Internet_User,35-44,17.1
106,107,107,45,Male,Delta,0.6,0,Vodafone,,,0.0,,0,0,2022,Low digital literacy,45-54,14.0
107,108,108,58,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 40GB,3.0,Communication,200,20,2017,IS_Internet_User,55+,14.0
108,109,109,56,Female,Upper Egypt,0.4,1,Vodafone,Mobile Data,Vodafone Red 20GB,2.0,News,150,15,2022,IS_Internet_User,55+,12.0
109,110,110,26,Female,Delta,0.6,1,Vodafone,Fixed Broadband,Vodafone Basic,5.6,Work,200,30,2016,IS_Internet_User,25-34,14.0
110,111,111,38,Male,Delta,0.6,1,Vodafone,Fixed Broadband,Vodafone Max,4.2,Streaming,650,100,2023,IS_Internet_User,35-44,14.0
111,112,112,31,Female,Alexandria,0.92,1,Orange,Mobile Data,Orange Go 80GB,5.6,Work,420,40,2024,IS_Internet_User,25-34,13.7
112,113,113,54,Male,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 20GB,2.7,News,120,10,2018,IS_Internet_User,45-54,12.0
113,114,114,39,Male,Cairo,0.95,1,Etisalat,Mobile Data,Etisalat Mix 20GB,4.8,Work,130,15,2015,IS_Internet_User,35-44,15.8
114,115,115,41,Female,Delta,0.6,1,Vodafone,Fixed Broadband,Vodafone Plus,4.4,Streaming,350,50,2019,IS_Internet_User,35-44,14.0
115,116,116,69,Female,Giza,0.9,0,No is Sim Owner,,,0.0,,0,0,2024,Cannot afford device,55+,17.1
116,117,117,28,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,5.2,Social Media,350,30,2017,IS_Internet_User,25-34,14.0
117,118,118,26,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,4.5,Work,350,30,2022,IS_Internet_User,25-34,14.0
118,119,119,16,Female,Giza,0.9,1,WE,Fixed Broadband,WE Gold,7.1,Streaming,700,100,2022,IS_Internet_User,15-24,17.1
119,120,120,36,Female,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 80GB,4.7,News,350,30,2015,IS_Internet_User,35-44,12.0
120,121,121,16,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,5.5,Social Media,350,30,2019,IS_Internet_User,15-24,14.0
121,122,122,44,Female,Delta,0.6,1,Vodafone,Mobile Data,Vodafone Red 40GB,3.3,Work,260,25,2019,IS_Internet_User,35-44,14.0
122,123,123,17,Female,Alexandria,0.92,1,WE,Fixed Broadband,WE Gold,8.7,Streaming,700,100,2020,IS_Internet_User,15-24,13.7
123,124,124,68,Female,Delta,0.6,1,Orange,Fixed Broadband,Orange Home,2.2,News,180,30,2019,IS_Internet_User,55+,14.0
124,125,125,21,Female,Delta,0.6,1,Vodafone,Mobile Data,Vodafone Red 40GB,7.1,Social Media,260,25,2020,IS_Internet_User,15-24,14.0
125,126,126,26,Male,Alexandria,0.92,1,WE,Mobile Data,WE Mobile 80GB,6.7,Streaming,350,30,2023,IS_Internet_User,25-34,13.7
126,127,127,52,Female,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 40GB,3.6,Communication,260,25,2022,IS_Internet_User,45-54,15.8
127,128,128,25,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 40GB,4.7,Streaming,200,20,2016,IS_Internet_User,25-34,14.0
128,129,129,15,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 20GB,7.5,Social Media,120,10,2023,IS_Internet_User,15-24,14.0
129,130,130,55,Male,Cairo,0.95,1,Orange,Mobile Data,Orange Go 20GB,2.5,News,140,15,2017,IS_Internet_User,55+,15.8
130,131,131,22,Female,Giza,0.9,1,Orange,Mobile Data,Orange Go 80GB,7.6,Streaming,420,40,2022,IS_Internet_User,15-24,17.1
131,132,132,18,Male,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 20GB,6.0,Social Media,150,15,2016,IS_Internet_User,15-24,15.8
132,133,133,29,Female,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 40GB,6.2,Social Media,200,20,2015,IS_Internet_User,25-34,12.0
133,134,134,19,Female,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 80GB,7.0,Social Media,350,30,2017,IS_Internet_User,15-24,12.0
134,135,135,22,Female,Giza,0.9,1,Vodafone,Mobile Data,Vodafone Red 80GB,6.5,Gaming,450,40,2022,IS_Internet_User,15-24,17.1
135,136,136,65,Male,Upper Egypt,0.4,1,Etisalat,Fixed Broadband,Etisalat Home,3.1,News,190,30,2021,IS_Internet_User,55+,12.0
136,137,137,45,Male,Alexandria,0.92,1,Vodafone,Fixed Broadband,Vodafone Plus,3.5,News,350,50,2022,IS_Internet_User,45-54,13.7
137,138,138,35,Female,Upper Egypt,0.4,1,Orange,Mobile Data,Orange Go 40GB,3.6,News,240,25,2016,IS_Internet_User,35-44,12.0
138,139,139,33,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 20GB,6.4,Streaming,120,10,2016,IS_Internet_User,25-34,15.8
139,140,140,42,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 80GB,5.2,Work,350,30,2020,IS_Internet_User,35-44,17.1
140,141,141,43,Female,Giza,0.9,1,WE,Mobile Data,WE Mobile 80GB,4.3,Work,350,30,2023,IS_Internet_User,35-44,17.1
141,142,142,56,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 80GB,2.8,News,350,30,2016,IS_Internet_User,55+,17.1
142,143,143,51,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,4.8,News,350,30,2017,IS_Internet_User,45-54,14.0
143,144,144,64,Male,Cairo,0.95,0,No is Sim Owner,,,0.0,,0,0,2019,Physical disability,55+,15.8
144,145,145,66,Male,Cairo,0.95,1,Orange,Mobile Data,Orange Go 80GB,2.4,News,420,40,2017,IS_Internet_User,55+,15.8
145,146,146,60,Female,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 80GB,1.9,News,350,30,2024,IS_Internet_User,55+,12.0
146,147,147,17,Male,Delta,0.6,1,Vodafone,Mobile Data,Vodafone Red 40GB,5.4,Gaming,260,25,2022,IS_Internet_User,15-24,14.0
147,148,148,64,Female,Cairo,0.95,1,WE,Mobile Data,WE Mobile 40GB,2.7,News,200,20,2021,IS_Internet_User,55+,15.8
148,149,149,39,Male,Giza,0.9,1,Vodafone,Mobile Data,Vodafone Red 40GB,4.4,Work,260,25,2018,IS_Internet_User,35-44,17.1
149,150,150,67,Female,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 80GB,2.6,News,410,40,2019,IS_Internet_User,55+,14.0
150,151,151,15,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,6.6,Gaming,350,30,2019,IS_Internet_User,15-24,14.0
151,152,152,48,Female,Giza,0.9,1,Etisalat,Fixed Broadband,Etisalat Extreme,4.3,Communication,620,100,2017,IS_Internet_User,45-54,17.1
152,153,153,16,Male,Delta,0.6,1,Orange,Mobile Data,Orange Go 40GB,7.5,Social Media,240,25,2024,IS_Internet_User,15-24,14.0
153,154,154,40,Female,Cairo,0.95,0,WE,,,0.0,,0,0,2020,No internet coverage,35-44,15.8
154,155,155,21,Female,Cairo,0.95,1,WE,Fixed Broadband,WE Silver,5.5,Gaming,400,50,2017,IS_Internet_User,15-24,15.8
155,156,156,19,Female,Upper Egypt,0.4,1,Orange,Mobile Data,Orange Go 40GB,7.5,Social Media,240,25,2016,IS_Internet_User,15-24,12.0
156,157,157,52,Female,Cairo,0.95,1,WE,Mobile Data,WE Mobile 20GB,4.5,News,120,10,2023,IS_Internet_User,45-54,15.8
157,158,158,66,Female,Giza,0.9,1,Vodafone,Fixed Broadband,Vodafone Plus,2.1,News,350,50,2020,IS_Internet_User,55+,17.1
158,159,159,19,Male,Upper Egypt,0.4,1,Vodafone,Mobile Data,Vodafone Red 40GB,6.4,Streaming,260,25,2022,IS_Internet_User,15-24,12.0
159,160,160,55,Male,Upper Egypt,0.4,1,Orange,Fixed Broadband,Orange Extra,3.0,Communication,330,50,2016,IS_Internet_User,55+,12.0
160,161,161,52,Male,Giza,0.9,1,Vodafone,Mobile Data,Vodafone Red 40GB,4.5,News,260,25,2015,IS_Internet_User,45-54,17.1
161,162,162,49,Male,Cairo,0.95,0,WE,,,0.0,,0,0,2023,No internet coverage,45-54,15.8
162,163,163,59,Female,Giza,0.9,1,Etisalat,Fixed Broadband,Etisalat Extreme,3.1,Communication,620,100,2024,IS_Internet_User,55+,17.1
163,164,164,37,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 40GB,5.4,News,200,20,2015,IS_Internet_User,35-44,14.0
164,165,165,50,Male,Alexandria,0.92,1,WE,Mobile Data,WE Mobile 20GB,3.0,News,120,10,2020,IS_Internet_User,45-54,13.7
165,166,166,72,Male,Delta,0.6,1,Orange,Mobile Data,Orange Go 20GB,3.0,News,140,15,2016,IS_Internet_User,55+,14.0
166,167,167,32,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 80GB,4.5,Streaming,350,30,2015,IS_Internet_User,25-34,15.8
167,168,168,30,Male,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 80GB,4.9,Social Media,450,40,2024,IS_Internet_User,25-34,15.8
168,169,169,18,Male,Giza,0.9,1,Etisalat,Mobile Data,Etisalat Mix 20GB,7.1,Streaming,130,15,2019,IS_Internet_User,15-24,17.1
169,170,170,27,Male,Delta,0.6,0,Vodafone,,,0.0,,0,0,2016,Low digital literacy,25-34,14.0
170,171,171,15,Male,Giza,0.9,1,Etisalat,Mobile Data,Etisalat Mix 20GB,5.0,Streaming,130,15,2017,IS_Internet_User,15-24,17.1
171,172,172,19,Male,Delta,0.6,1,Vodafone,Mobile Data,Vodafone Red 80GB,4.9,Social Media,450,40,2022,IS_Internet_User,15-24,14.0
172,173,173,52,Male,Alexandria,0.92,1,WE,Mobile Data,WE Mobile 20GB,4.1,News,120,10,2024,IS_Internet_User,45-54,13.7
173,174,174,35,Female,Upper Egypt,0.4,1,Etisalat,Fixed Broadband,Etisalat Extreme,5.7,Work,620,100,2015,IS_Internet_User,35-44,12.0
174,175,175,25,Female,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 40GB,6.7,Work,200,20,2022,IS_Internet_User,25-34,12.0
175,176,176,16,Female,Giza,0.9,1,WE,Mobile Data,WE Mobile 20GB,7.3,Streaming,120,10,2024,IS_Internet_User,15-24,17.1
176,177,177,34,Female,Giza,0.9,1,WE,Fixed Broadband,WE Silver,5.8,Streaming,400,50,2016,IS_Internet_User,25-34,17.1
177,178,178,16,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,7.4,Streaming,350,30,2021,IS_Internet_User,15-24,14.0
178,179,179,52,Female,Alexandria,0.92,0,WE,,,0.0,,0,0,2021,No perceived need,45-54,13.7
179,180,180,21,Female,Giza,0.9,0,WE,,,0.0,,0,0,2019,No internet coverage,15-24,17.1
180,181,181,20,Male,Delta,0.6,1,Vodafone,Mobile Data,Vodafone Red 40GB,7.5,Social Media,260,25,2016,IS_Internet_User,15-24,14.0
181,182,182,68,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 20GB,1.7,Communication,120,10,2016,IS_Internet_User,55+,14.0
182,183,183,41,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 40GB,4.1,Work,200,20,2019,IS_Internet_User,35-44,14.0
183,184,184,34,Male,Cairo,0.95,0,No is Sim Owner,,,0.0,,0,0,2017,Cannot afford device,25-34,15.8
184,185,185,70,Female,Cairo,0.95,0,Orange,,,0.0,,0,0,2016,No perceived need,55+,15.8
185,186,186,19,Male,Upper Egypt,0.4,1,Vodafone,Mobile Data,Vodafone Red 80GB,6.7,Social Media,450,40,2024,IS_Internet_User,15-24,12.0
186,187,187,19,Female,Giza,0.9,0,Vodafone,,,0.0,,0,0,2020,No internet coverage,15-24,17.1
187,188,188,30,Female,Upper Egypt,0.4,0,No is Sim Owner,,,0.0,,0,0,2016,Cannot afford device,25-34,12.0
